Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Isotonic_sensitivity,1m,0.03,0.001640859661468425,-0.02475471919842528,0.0,221,4018
Isotonic_sensitivity,1m,0.031,0.0015694320096138101,-0.02581225760833078,0.0,221,4016
Isotonic_sensitivity,1m,0.032,0.0016207330462996087,-0.026871981014950953,0.0,217,3674
Isotonic_sensitivity,1m,0.033,0.0015541538149347798,-0.02793389619697262,0.0,217,3674
Isotonic_sensitivity,1m,0.034,0.0014874367383704381,-0.028998009961151677,0.0,217,3674
Isotonic_sensitivity,1m,0.035,0.0014205813880722841,-0.030064329142458573,0.0,217,3674
Isotonic_sensitivity,1m,0.036,0.0013535873337278685,-0.031132860604224606,0.0,217,3674
Isotonic_sensitivity,1m,0.037,0.0012864541432373584,-0.03220361123828922,0.0,217,3674
Isotonic_sensitivity,1m,0.038,0.0015222222441655202,-0.03327658796514815,0.0,202,2842
Isotonic_sensitivity,1m,0.039,0.001470075515324272,-0.034351797734102525,0.0,202,2842
Isotonic_sensitivity,1m,0.04,0.001417820147464604,-0.03542924752340888,0.0,202,2842
Isotonic_sensitivity,1m,0.041,0.0013654558007355731,-0.03650894434043016,0.0,202,2842
Isotonic_sensitivity,1m,0.042,0.0013129821338672331,-0.0375908952217876,0.0,202,2842
Isotonic_sensitivity,1m,0.043,0.0012603988041632232,-0.038675107233513605,0.0,202,2842
Isotonic_sensitivity,1m,0.044,0.0012077054674933044,-0.03976158747120557,0.0,202,2842
Isotonic_sensitivity,1m,0.045,0.001155701079731918,-0.04085034306018065,0.0,202,2841
Isotonic_sensitivity,1m,0.046,0.0011028053096816428,-0.04194138115563158,0.0,202,2841
Isotonic_sensitivity,1m,0.047,0.001049798530670087,-0.043034708942783335,0.0,202,2841
Isotonic_sensitivity,1m,0.048,0.000996680392879095,-0.04413033363705097,0.0,202,2841
Isotonic_sensitivity,1m,0.049,0.000943450545019142,-0.04522826248419824,0.0,202,2841
Isotonic_sensitivity,1m,0.05,0.0008901086343215893,-0.046328502760497395,0.0,202,2841
Isotonic_sensitivity,1m,0.051,0.000836654306530891,-0.0474310617728899,0.0,202,2841
Isotonic_sensitivity,1m,0.052,0.0007830872058967519,-0.048535946859148235,0.0,202,2841
Isotonic_sensitivity,1m,0.053,0.000729406975166237,-0.04964316538803857,0.0,202,2841
Isotonic_sensitivity,1m,0.054,0.0006765815425284543,-0.050752724759484696,0.0,202,2840
Isotonic_sensitivity,1m,0.055,0.0006226929486530517,-0.05186463240473283,0.0,202,2840
Isotonic_sensitivity,1m,0.056,0.0005686901840279137,-0.0529788957865175,0.0,202,2840
Isotonic_sensitivity,1m,0.057,0.0005145728854375046,-0.05409552239922855,0.0,202,2840
Isotonic_sensitivity,1m,0.058,0.0005930190714011382,-0.055214519769079116,0.0,198,2648
Isotonic_sensitivity,1m,0.059,0.0005423458036935332,-0.05633589545427472,0.0,198,2648
Isotonic_sensitivity,1m,0.06,0.0004915647205227195,-0.05745965704518353,0.0,198,2648
Isotonic_sensitivity,1m,0.061,0.00044067547743034934,-0.05858581216450747,0.0,198,2648
Isotonic_sensitivity,1m,0.062,0.0003896777284891676,-0.05971436846745471,0.0,198,2648
Isotonic_sensitivity,1m,0.063,0.00033857112629517676,-0.060845333641913045,0.0,198,2648
Isotonic_sensitivity,1m,0.064,0.00028735532195974575,-0.06197871540862449,0.0,198,2648
Isotonic_sensitivity,1m,0.065,0.00023602996510167264,-0.06311452152136099,0.0,198,2648
Isotonic_sensitivity,1m,0.066,0.00018459470383919195,-0.06425275976710121,0.0,198,2648
Isotonic_sensitivity,1m,0.067,0.00013304918478193725,-0.06539343796620849,0.0,198,2648
Isotonic_sensitivity,1m,0.068,8.139305302284211e-05,-0.06653656397261001,0.0,198,2648
Isotonic_sensitivity,1m,0.069,2.9625952130000414e-05,-0.06768214567397694,0.0,198,2648
Isotonic_sensitivity,1m,0.07,-2.225247586153589e-05,-0.06883019099190596,0.0,198,2648
Isotonic_sensitivity,1m,0.071,-7.424259045800408e-05,-0.06998070788210174,0.0,198,2648
Isotonic_sensitivity,1m,0.072,-0.00012634475271524172,-0.0711337043345609,0.0,198,2648
Isotonic_sensitivity,1m,0.073,0.0003929293288614088,-0.07228918837375677,0.0,182,2017
Isotonic_sensitivity,1m,0.074,0.00035307122505786465,-0.07344716805882562,0.0,182,2017
Isotonic_sensitivity,1m,0.075,0.00031450231613075995,-0.07460765148375408,0.0,182,2016
Isotonic_sensitivity,1m,0.076,0.000275886641065092,-0.07577064677756766,0.0,182,2015
Isotonic_sensitivity,1m,0.077,0.00023580893694368724,-0.0769361621045206,0.0,182,2015
Isotonic_sensitivity,1m,0.078,0.00019564429637082634,-0.0781042056642869,0.0,182,2015
Isotonic_sensitivity,1m,0.079,0.00015539243616588538,-0.07927478569215259,0.0,182,2015
Isotonic_sensitivity,1m,0.08,0.00011505307191702046,-0.08044791045920927,0.0,182,2015
Isotonic_sensitivity,1m,0.081,0.001090704951528408,-0.08162358827254901,0.0,123,666
Isotonic_sensitivity,1m,0.082,0.0010803442319012313,-0.08280182747546028,0.0,123,664
Isotonic_sensitivity,1m,0.083,0.0010731056284742607,-0.08398263644762544,0.0,123,660
Isotonic_sensitivity,1m,0.084,0.0010613327043954345,-0.08516602360531936,0.0,123,659
Isotonic_sensitivity,1m,0.085,0.001047995331202119,-0.08635199740160933,0.0,123,659
