Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,RSF,ML,1y,11158,866,134,11024,0.6616168522409721,0.4566382448356515,0.8384228607149051,0.0972504672982712,Patient-level cluster bootstrap percentile,2000,2000,20263647,0.6067643805731506,0.7164693239087936,0.0279864691905008,DeLong normal approximation,Stage4,1y-2y,366-730d,0.3817846158792536,0.2049786074053206,0.17680600847393302,False
All-model common valid,Qwen3-4B SFT,LLM,1y,11158,866,134,11024,0.6502430924116717,0.5272861783148343,0.7976461913928936,0.0697271333651249,Patient-level cluster bootstrap percentile,2000,2000,20263662,0.6054002823767308,0.6950859024466125,0.0228794051261427,DeLong normal approximation,Stage4,1y-2y,366-730d,0.27036001307805935,0.1229569140968374,0.14740309898122195,False
All-model common valid,Qwen3-4B baseline,LLM,1y,11158,866,134,11024,0.6375025724064727,0.5552467762187645,0.7122281080983504,0.0398678673970688,Patient-level cluster bootstrap percentile,2000,2000,20263677,0.5925286323949994,0.6824765124179459,0.0229463094047758,DeLong normal approximation,Stage4,1y-2y,366-730d,0.15698133187958585,0.08225579618770817,0.07472553569187768,False
All-model common valid,Llama3.1-8B,LLM,1y,11158,866,134,11024,0.597138130104196,0.5201043832164157,0.6606602573459599,0.0369825122898647,Patient-level cluster bootstrap percentile,2000,2000,20263692,0.5521364716871177,0.6421397885212744,0.02296045170832,DeLong normal approximation,Stage4,1y-2y,366-730d,0.14055587412954418,0.07703374688778031,0.06352212724176387,False
All-model common valid,Huatuo-O1-7B,LLM,1y,11158,866,134,11024,0.5017414514871217,0.4527887431647574,0.5491679031525997,0.0244981632227877,Patient-level cluster bootstrap percentile,2000,2000,20263707,0.4570846516657875,0.5463982513084558,0.0227845002120351,DeLong normal approximation,Stage4,1y-2y,366-730d,0.09637915998784224,0.04895270832236426,0.04742645166547799,False
All-model common valid,XGBoost,ML,1y,19992,763,77,19915,0.929540156052835,0.7795632609868551,0.9919290359212398,0.0577180109875125,Patient-level cluster bootstrap percentile,2000,2000,20263618,0.8995882404264903,0.9594920716791796,0.0152818704132328,DeLong normal approximation,Stage5,>2y,>730d,0.2123657749343847,0.1499768950659799,0.0623888798684048,False
All-model common valid,LSTM,ML,1y,19992,763,77,19915,0.7272055586893649,0.4530220046015287,0.8896833428859433,0.1104650511477007,Patient-level cluster bootstrap percentile,2000,1998,20263633,0.6616805159297746,0.7927306014489551,0.0334317585815063,DeLong normal approximation,Stage5,>2y,>730d,0.4366613382844146,0.2741835540878362,0.16247778419657843,False
All-model common valid,RSF,ML,1y,19992,763,77,19915,0.8007603744485492,0.5931226367523252,0.9223139813175084,0.0830682057419921,Patient-level cluster bootstrap percentile,2000,2000,20263648,0.7432869995710744,0.858233749326024,0.0293236892773629,DeLong normal approximation,Stage5,>2y,>730d,0.3291913445651832,0.20763773769622396,0.12155360686895922,False
All-model common valid,Qwen3-4B SFT,LLM,1y,19992,763,77,19915,0.921420256870922,0.7971996385068786,0.9850600127430538,0.0481411103681877,Patient-level cluster bootstrap percentile,2000,2000,20263663,0.8950260342003932,0.947814479541451,0.0134666875915696,DeLong normal approximation,Stage5,>2y,>730d,0.1878603742361752,0.12422061836404341,0.06363975587213178,False
All-model common valid,Qwen3-4B baseline,LLM,1y,19992,763,77,19915,0.619451173982934,0.4535317167208927,0.7715555337048036,0.0851953108085719,Patient-level cluster bootstrap percentile,2000,1999,20263678,0.5572435165487205,0.6816588314171476,0.0317391839466947,DeLong normal approximation,Stage5,>2y,>730d,0.31802381698391086,0.16591945726204133,0.15210435972186953,False
